ID,Latitude_dd,Longitude_dd,F_CODE,OCEAN
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
486_Search_1,-76.985912,-38.60117,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
138_Search_1,-62.698214,-59.238569,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
773_Search_1,-62.340922,-58.654435,48,Atlantic
1114_Search_1,-62.146634,-58.42127,48,Atlantic
